sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,most_common_emotion,avg_confidence,category,category2
9,Pink Bag,8,1,2,10.0-15.0%,10.0,15.0,12.5,happy,0.6642406497682843,office,
9,Pink Bag,8,1,2,15.0-20.0%,15.0,20.0,17.5,neutral,0.6845271151799422,office,
9,Pink Bag,8,1,2,20.0-25.0%,20.0,25.0,22.5,happy,0.6747427731752396,office,
9,Pink Bag,8,1,2,25.0-30.0%,25.0,30.0,27.5,surprise,0.8004933595657349,office,
9,Pink Bag,8,1,2,30.0-35.0%,30.0,35.0,32.5,sad,0.5556875839829445,office,
9,Pink Bag,8,1,2,35.0-40.0%,35.0,40.0,37.5,surprise,0.8185370299551222,office,
9,Pink Bag,8,1,2,40.0-45.0%,40.0,45.0,42.5,sad,0.7112015038728714,office,
9,Pink Bag,8,1,2,45.0-50.0%,45.0,50.0,47.5,neutral,0.6972895820935567,office,
9,Pink Bag,8,1,2,50.0-55.0%,50.0,55.0,52.5,sad,0.6700783574581146,office,
9,Pink Bag,8,1,2,55.0-60.0%,55.0,60.0,57.5,surprise,0.8507066329320272,office,
9,Pink Bag,8,1,2,60.0-65.0%,60.0,65.0,62.5,sad,0.7771551781579068,office,
9,Pink Bag,8,1,2,65.0-70.0%,65.0,70.0,67.5,surprise,0.7847691420465708,office,
9,Pink Bag,8,1,2,70.0-75.0%,70.0,75.0,72.5,neutral,0.6941319984548232,office,
9,Pink Bag,8,1,2,75.0-80.0%,75.0,80.0,77.5,surprise,0.7280892860144377,office,
9,Pink Bag,8,1,2,80.0-85.0%,80.0,85.0,82.5,surprise,0.7577433447043102,office,
9,Pink Bag,8,1,2,85.0-90.0%,85.0,90.0,87.5,sad,0.740111788113912,office,
9,Pink Bag,8,1,2,90.0-95.0%,90.0,95.0,92.5,sad,0.7836969725110314,office,
9,Pink Bag,8,1,2,95.0-100.0%,95.0,100.0,97.5,sad,0.6684605154124174,office,
10,River Mountain High,9,1,2,0.0-5.0%,0.0,5.0,2.5,neutral,0.61294806599617,commercial,
