sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,dominance_ratio,category,category2
53,Little Buff Boys Competition,52,2,5,50.0-55.0%,50.0,55.0,52.5,anger,1,2,0.5,commercial,
53,Little Buff Boys Competition,52,2,5,55.0-60.0%,55.0,60.0,57.5,disgust,1,3,0.3333333333333333,commercial,
53,Little Buff Boys Competition,52,2,5,60.0-65.0%,60.0,65.0,62.5,disgust,1,2,0.5,commercial,
53,Little Buff Boys Competition,52,2,5,65.0-70.0%,65.0,70.0,67.5,happy,2,2,1.0,commercial,
53,Little Buff Boys Competition,52,2,5,70.0-75.0%,70.0,75.0,72.5,disgust,1,3,0.3333333333333333,commercial,
53,Little Buff Boys Competition,52,2,5,75.0-80.0%,75.0,80.0,77.5,anger,2,2,1.0,commercial,
53,Little Buff Boys Competition,52,2,5,80.0-85.0%,80.0,85.0,82.5,anger,1,3,0.3333333333333333,commercial,
53,Little Buff Boys Competition,52,2,5,85.0-90.0%,85.0,90.0,87.5,anger,3,4,0.75,commercial,
53,Little Buff Boys Competition,52,2,5,90.0-95.0%,90.0,95.0,92.5,happy,2,3,0.6666666666666666,commercial,
53,Little Buff Boys Competition,52,2,5,95.0-100.0%,95.0,100.0,97.5,anger,2,2,1.0,commercial,
54,Mars Restaurant,53,2,5,0.0-5.0%,0.0,5.0,2.5,happy,11,15,0.7333333333333333,dating,restaurant
54,Mars Restaurant,53,2,5,5.0-10.0%,5.0,10.0,7.5,happy,8,11,0.7272727272727273,dating,restaurant
54,Mars Restaurant,53,2,5,10.0-15.0%,10.0,15.0,12.5,happy,9,16,0.5625,dating,restaurant
54,Mars Restaurant,53,2,5,15.0-20.0%,15.0,20.0,17.5,happy,3,3,1.0,dating,restaurant
54,Mars Restaurant,53,2,5,20.0-25.0%,20.0,25.0,22.5,happy,4,4,1.0,dating,restaurant
54,Mars Restaurant,53,2,5,25.0-30.0%,25.0,30.0,27.5,happy,10,12,0.8333333333333334,dating,restaurant
54,Mars Restaurant,53,2,5,30.0-35.0%,30.0,35.0,32.5,happy,8,17,0.47058823529411764,dating,restaurant
54,Mars Restaurant,53,2,5,35.0-40.0%,35.0,40.0,37.5,happy,6,10,0.6,dating,restaurant
54,Mars Restaurant,53,2,5,40.0-45.0%,40.0,45.0,42.5,happy,5,15,0.3333333333333333,dating,restaurant
54,Mars Restaurant,53,2,5,45.0-50.0%,45.0,50.0,47.5,happy,5,18,0.2777777777777778,dating,restaurant
