sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,percentage,category,category2
3,Baby of the Year,2,1,1,5.0-10.0%,5.0,10.0,7.5,neutral,2,13,15.384615384615385,game show,
3,Baby of the Year,2,1,1,5.0-10.0%,5.0,10.0,7.5,surprise,2,13,15.384615384615385,game show,
3,Baby of the Year,2,1,1,5.0-10.0%,5.0,10.0,7.5,anger,1,13,7.6923076923076925,game show,
3,Baby of the Year,2,1,1,5.0-10.0%,5.0,10.0,7.5,sad,1,13,7.6923076923076925,game show,
3,Baby of the Year,2,1,1,10.0-15.0%,10.0,15.0,12.5,surprise,4,9,44.44444444444444,game show,
3,Baby of the Year,2,1,1,10.0-15.0%,10.0,15.0,12.5,neutral,2,9,22.22222222222222,game show,
3,Baby of the Year,2,1,1,10.0-15.0%,10.0,15.0,12.5,anger,1,9,11.11111111111111,game show,
3,Baby of the Year,2,1,1,10.0-15.0%,10.0,15.0,12.5,happy,1,9,11.11111111111111,game show,
3,Baby of the Year,2,1,1,10.0-15.0%,10.0,15.0,12.5,sad,1,9,11.11111111111111,game show,
3,Baby of the Year,2,1,1,15.0-20.0%,15.0,20.0,17.5,happy,6,11,54.54545454545454,game show,
3,Baby of the Year,2,1,1,15.0-20.0%,15.0,20.0,17.5,disgust,2,11,18.181818181818183,game show,
3,Baby of the Year,2,1,1,15.0-20.0%,15.0,20.0,17.5,anger,1,11,9.090909090909092,game show,
3,Baby of the Year,2,1,1,15.0-20.0%,15.0,20.0,17.5,neutral,1,11,9.090909090909092,game show,
3,Baby of the Year,2,1,1,15.0-20.0%,15.0,20.0,17.5,sad,1,11,9.090909090909092,game show,
3,Baby of the Year,2,1,1,20.0-25.0%,20.0,25.0,22.5,happy,8,15,53.333333333333336,game show,
3,Baby of the Year,2,1,1,20.0-25.0%,20.0,25.0,22.5,sad,4,15,26.666666666666668,game show,
3,Baby of the Year,2,1,1,20.0-25.0%,20.0,25.0,22.5,disgust,2,15,13.333333333333334,game show,
3,Baby of the Year,2,1,1,20.0-25.0%,20.0,25.0,22.5,surprise,1,15,6.666666666666667,game show,
3,Baby of the Year,2,1,1,25.0-30.0%,25.0,30.0,27.5,happy,2,6,33.33333333333333,game show,
3,Baby of the Year,2,1,1,25.0-30.0%,25.0,30.0,27.5,sad,2,6,33.33333333333333,game show,
3,Baby of the Year,2,1,1,25.0-30.0%,25.0,30.0,27.5,anger,1,6,16.666666666666664,game show,
3,Baby of the Year,2,1,1,25.0-30.0%,25.0,30.0,27.5,disgust,1,6,16.666666666666664,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,disgust,9,37,24.324324324324326,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,neutral,9,37,24.324324324324326,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,anger,7,37,18.91891891891892,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,sad,6,37,16.216216216216218,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,happy,4,37,10.81081081081081,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,fear,1,37,2.7027027027027026,game show,
3,Baby of the Year,2,1,1,30.0-35.0%,30.0,35.0,32.5,surprise,1,37,2.7027027027027026,game show,
3,Baby of the Year,2,1,1,35.0-40.0%,35.0,40.0,37.5,sad,7,19,36.84210526315789,game show,
3,Baby of the Year,2,1,1,35.0-40.0%,35.0,40.0,37.5,surprise,4,19,21.052631578947366,game show,
